ARTISTI;TULOT
Al Stewart;$7Ê500,00
Almost AHBA;$7Ê500,00
Another Tequila Sunrise   ;$7Ê500,00
Beth Hart   ;$7Ê500,00
Big D And The Kids Table   ;$7Ê500,00
Billy Richard's Coasters   ;$7Ê500,00
California Guitar Trio   ;$7Ê500,00
Chris Hiatt And Cold Shot-Tribute To Stevie Ray Vaughan   ;$7Ê500,00
Common Sense   ;$7Ê500,00
Dave Somerville Of The Diamonds   ;$7Ê500,00
DeeJay Silver   ;$7Ê500,00
Dick Dale   ;$7Ê500,00
Dodie Stevens   ;$7Ê500,00
Georgia Satellites   ;$7Ê500,00
Ghost Riders   ;$7Ê500,00
Glen Templeton   ;$7Ê500,00
Jimmy Stephens And The Safaris   ;$7Ê500,00
Journey Unauthorized   ;$7Ê500,00
Leftover Cuties   ;$7Ê500,00
Lifeforce   ;$7Ê500,00
Lisa Tucker   ;$7Ê500,00
Lorenza Ponce   ;$7Ê500,00
Maria Muldaur   ;$7Ê500,00
Marty Balin Of Jefferson Airplane   ;$7Ê500,00
Melissa Peterman   ;$7Ê500,00
Metal Church   ;$7Ê500,00
Moonshine Bandits   ;$7Ê500,00
Platinum Rockstars   ;$7Ê500,00
Rumors-Tribute To Fleetwood Mac   ;$7Ê500,00
Ryan Star   ;$7Ê500,00
Scot Bruce (as Elvis)   ;$7Ê500,00
Second Helping-Tribute To Lynyrd Skynyrd   ;$7Ê500,00
Shangri-Las   ;$7Ê500,00
Sponge   ;$7Ê500,00
Stroke 9   ;$7Ê500,00
Tab Benoit   ;$7Ê500,00
Tequila Sunrise (Tribute To The Eagles)   ;$7Ê500,00
The Chantays   ;$7Ê500,00
The Coasters   ;$7Ê500,00
The Impalas   ;$7Ê500,00
The Ocean Blue   ;$7Ê500,00
The Westbound Rangers   ;$7Ê500,00
Tom Sadge - Tribute To Neil Diamond   ;$7Ê500,00
Tusk - Tribute To Fleetwood Mac   ;$7Ê500,00
Yellow Brick Road   ;$7Ê500,00
Zane Williams   ;$7Ê500,00
12 Stones;$8Ê000,00
Swing Out Sister   ;$8Ê000,00
VOX Audio   ;$8Ê000,00
Mark Lindsay Of The Raiders   ;$8Ê500,00
Son Of A Sailor - Tribute To Jimmy Buffett   ;$8Ê500,00
Hot August Night - Neil Diamond Tribute   ;$9Ê500,00
7 Walkers;$10Ê000,00
Adrian Belew;$10Ê000,00
Alberta Cross;$10Ê000,00
Allen Toussaint ;$10Ê000,00
Ambrosia   ;$10Ê000,00
April Wine   ;$10Ê000,00
Austin Brown   ;$10Ê000,00
Bad And Nationwide - Premier ZZ Top Tribute Band   ;$10Ê000,00
Billy Joe Shaver   ;$10Ê000,00
Blackfoot   ;$10Ê000,00
Blessid Union Of Souls   ;$10Ê000,00
Bo Bice   ;$10Ê000,00
Brett Dennen   ;$10Ê000,00
Buster Poindexter   ;$10Ê000,00
Canned Heat   ;$10Ê000,00
DJ VH1   ;$10Ê000,00
Dan Balmer   ;$10Ê000,00
Deacon Blues   ;$10Ê000,00
Dean Torrence   ;$10Ê000,00
Don't Stop Believin' - Journey Tribute Band   ;$10Ê000,00
Evans Blue   ;$10Ê000,00
Flash Cadillac   ;$10Ê000,00
Gary Lewis & The Playboys   ;$10Ê000,00
Gary Puckett & The Union Gap   ;$10Ê000,00
George Huff   ;$10Ê000,00
Greg Kihn   ;$10Ê000,00
Hotel California   ;$10Ê000,00
Ides Of March Featuring Jim Peterik   ;$10Ê000,00
Jada Pinkett Smith   ;$10Ê000,00
Jimmie Van Zant   ;$10Ê000,00
